origen,destino,tipo_dia,viajes
18165,29067,laborable,103.528
18153,29067,festivo,103.207
11901,41091,laborable,102.999
18079,29067,laborable,102.691
06015,29067,laborable,102.615
39075,41091,laborable,102.106
11014,29067,laborable,101.86
38023,41091,festivo,101.477
14041,41091,festivo,101.456
29072,41091,festivo,100.784
FRL03,29067,laborable,100.691
18138,29067,laborable,100.631
29038,41091,laborable,100.298
14057,29067,laborable,100.27799999999999
18192_AM,29067,festivo,100.112
18903_AM,29067,festivo,100.05
06122,41091,festivo,99.633
41062,29067,festivo,99.077
29056_AM,29067,festivo,99.03399999999999
41055,29067,laborable,98.819
15078,29067,festivo,98.612
FRJ12,29067,laborable,97.926
03014,29067,laborable,97.877
18911,29067,festivo,97.32300000000001
29046,29067,laborable,97.014
41076_AM,29067,laborable,96.845
06153,41091,festivo,96.745
20069,41091,laborable,96.71000000000001
28127,41091,laborable,96.393
18071_AM,29067,laborable,96.099
15031,29067,laborable,95.95
06069_AM,41091,festivo,95.561
28161,41091,laborable,95.4
18022,41091,laborable,95.059
28006,41091,laborable,94.919
06012_AM,41091,festivo,94.91
33024,41091,laborable,94.295
18193,41091,laborable,94.273
02003,41091,laborable,94.179
11013,29067,laborable,94.101
28005,29067,laborable,94.001
18094,41091,laborable,93.892
28148,41091,laborable,93.657
18165,29067,festivo,93.607
14041,29067,laborable,93.281
36057,41091,laborable,93.275
21017_AM,41091,festivo,93.182
18153,41091,laborable,93.045
18059,29067,festivo,92.388
28115,41091,laborable,92.352
23086_AM,29067,festivo,92.346
21008_AM,41091,festivo,92.089
18119_AM,29067,laborable,91.958
18003,41091,laborable,91.795
14043_AM,29067,laborable,91.759
21041,29067,festivo,91.6
41061,41091,laborable,91.437
18084,29067,laborable,91.405
18014_AM,29067,festivo,91.029
18061_AM,29067,laborable,91.017
04052,29067,festivo,90.961
10121,41091,laborable,90.696
35016,41091,festivo,90.594
29032,41091,laborable,90.36
41011,29067,laborable,90.135
FRL05,29067,laborable,89.968
